player_name,country,points,position,year,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,fact_player_pk
Agustin Reca,DEU,22,10,2024,no verified account,no verified account,no verified account,no verified account,no verified account,238
Pablo Castillo Valverde,ESP,21,299,2024,no verified account,no verified account,no verified account,no verified account,no verified account,239
Alejandro Tasa Van Beek,ESP,21,33,2024,no verified account,no verified account,no verified account,no verified account,no verified account,240
Ferran Insa Sotillo,ESP,20,288,2024,no verified account,no verified account,no verified account,no verified account,no verified account,241
Pier Giulio Farabbi,ITA,20,80,2024,no verified account,no verified account,no verified account,no verified account,no verified account,242
Christian Medina Murphy,GBR,19,345,2024,no verified account,no verified account,no verified account,no verified account,no verified account,243
Arthur Hugounenq,FRA,19,85,2024,no verified account,no verified account,no verified account,no verified account,no verified account,244
Riccardo Sinicropi,ITA,18,202,2024,no verified account,no verified account,no verified account,no verified account,no verified account,245
Joaquim Florensa,ESP,18,60,2024,no verified account,no verified account,no verified account,no verified account,no verified account,246
Sergio Alba SÃ¡nchez,ESP,17,241,2024,no verified account,no verified account,no verified account,no verified account,no verified account,247
Ferran Gonzalez Zamorano,ESP,17,59,2024,no verified account,no verified account,no verified account,no verified account,no verified account,248
Simone Cremona,ITA,16,227,2024,no verified account,no verified account,no verified account,no verified account,no verified account,249
Sergi Guimet Bigas,ESP,16,52,2024,no verified account,no verified account,no verified account,no verified account,no verified account,250
Marcos Cordoba,ESP,15,308,2024,no verified account,no verified account,no verified account,no verified account,no verified account,251
Roberto Belmont Pastor,ESP,15,78,2024,no verified account,no verified account,no verified account,no verified account,no verified account,252
Carlos Perez Cabeza,ESP,14,359,2024,no verified account,no verified account,no verified account,no verified account,no verified account,253
Karlos Rodriguez Vidal,ESP,14,56,2024,no verified account,no verified account,no verified account,no verified account,no verified account,254
Flavio Abbate,ITA,13,264,2024,no verified account,no verified account,no verified account,no verified account,no verified account,255
Thijs Roper,NLD,13,33,2024,no verified account,no verified account,no verified account,no verified account,no verified account,256
Adrian Marques,ESP,12,322,2024,no verified account,no verified account,no verified account,no verified account,no verified account,257
Samuel Jones,GBR,12,68,2024,no verified account,no verified account,no verified account,no verified account,no verified account,258
Emiliano Martin Iriart,ITA,11,256,2024,no verified account,no verified account,no verified account,no verified account,no verified account,259
Jaume Romera Barcelo,ESP,11,95,2024,no verified account,no verified account,no verified account,no verified account,no verified account,260
Marco Cassetta,ITA,10,373,2024,no verified account,no verified account,no verified account,no verified account,no verified account,261
Albin Olsson,SWE,10,129,2024,no verified account,no verified account,no verified account,no verified account,no verified account,262
Miguel Deus,PRT,9,367,2024,no verified account,no verified account,no verified account,no verified account,no verified account,263
Maxime Deloyer,BEL,9,111,2024,no verified account,no verified account,no verified account,no verified account,no verified account,264
Pol Hernandez Alvarez,ESP,8,700,2024,no verified account,no verified account,no verified account,no verified account,no verified account,265
Joel Olivera Palos,ESP,8,118,2024,no verified account,no verified account,no verified account,no verified account,no verified account,266
Eduardo Agustin Torre,ARG,7,475,2024,no verified account,no verified account,no verified account,no verified account,no verified account,267
Sten Richters,NLD,7,141,2024,no verified account,no verified account,no verified account,no verified account,no verified account,268
Simon Vasquez,SWE,6,662,2024,no verified account,no verified account,no verified account,no verified account,no verified account,269
Simone Iacovino,ITA,6,137,2024,no verified account,no verified account,no verified account,no verified account,no verified account,270
Gustavo Nunes,PRT,5,541,2024,no verified account,no verified account,no verified account,no verified account,no verified account,271
Mauro Agustin Salandro,ITA,5,181,2024,no verified account,no verified account,no verified account,no verified account,no verified account,272
Miguel Gonzalez,ESP,4,606,2024,no verified account,no verified account,no verified account,no verified account,no verified account,273
Miguel Melero Bernal,ESP,4,274,2024,no verified account,no verified account,no verified account,no verified account,no verified account,274
Toni Bueno,ESP,3,559,2024,no verified account,no verified account,no verified account,no verified account,no verified account,275
JoÃ£o Maria Caiano,PRT,3,90,2024,no verified account,no verified account,no verified account,no verified account,no verified account,276
